id,name,sanskrit_name,description,dosha_type,diet_plan,foods_to_take,foods_to_avoid,lifestyle_routine,recommended_exercises
37,Migraine,Ardhavabhedaka,"Although migraine headaches can result from Vata, Pitta, or Kapha imbalance, they most frequently occur when systemic Pitta moves into the cardiovascular system, circulates, and affects the blood vessels around the brain. The hot, sharp quality of Pitta dilates the blood vessels and creates pressure on the nerves, causing this painful condition. Migraines are worsened by bright sun, hot weather, skipping meals, and Pitta-provoking foods.",Pitta-Vata,Vital to follow Pitta-soothing diet; especially avoid hot spicy and fermented foods.,"Ripe banana with warm ghee, date sugar and cardamom (preventive breakfast), shatavari-brahmi herbal tea, coconut water, sweet fruits, pomegranate juice, cool milk, cucumber","Hot spicy foods, fermented foods, sour and citrus fruits, alcohol, red meat, direct sun exposure, skipping meals, dehydration, pickles",Follow Pitta-soothing diet strictly — most important preventive step; preventive breakfast each morning: 1 ripe banana chopped + 1 tsp warm ghee + 1 tsp date sugar + pinch cardamom; take Shatavari-Brahmi-Jatamamsi-Musta formula ½ tsp twice daily after breakfast and dinner; put 5 drops warm Brahmi ghee in each nostril (Nasya) once headache develops; avoid direct sun exposure — wear a hat outdoors; gently squeeze earlobes pulling ear down and yawn to relieve pressure on blood vessels; rest in cool dark room during attack; apply sandalwood paste on forehead and temples,Moon Salutation; Hidden Lotus pose; Boat pose; Bow pose; Spinal Twist; Palm Tree pose; Standing on Toes; Shitali Pranayama (cooling breath); avoid Sun Salutation and heating practices; avoid exercise during acute attack
38,Kapha-Type Headache,Kapha Shiroroga,"Kapha headaches occur because of a Kapha-producing diet that causes systemic Kapha to increase in the stomach, enter the general circulation, and lodge in the sinuses. This creates dull, heavy, frontal sinus headaches that are worse in the morning and associated with congestion, mucus, and sluggishness. They tend to worsen in cold damp weather and improve as the day progresses and the person becomes more active.",Kapha,"Follow Kapha-reducing diet; light, warm, dry, spiced foods.","Ginger tea, hot water with honey and lime, spiced foods with black pepper and turmeric, light warm soups, mustard seed tea, pomegranate juice, sitopaladi-trikatu with honey","Dairy products, cold food and drinks, wheat, sweets, fried foods, heavy oily foods, alcohol, excess salt, bananas, sleeping in the morning","Apply dry ginger powder paste on forehead; steam inhalation with eucalyptus oil to clear congestion; take Sitopaladi-Trikatu formula with honey; Nasya with warm Brahmi ghee or plain ghee in each nostril; vigorous Kapalabhati to clear sinus congestion; avoid sleeping after sunrise — daytime sleep greatly increases Kapha; do not eat dairy, cold foods, or sweets; stay active throughout the day; avoid cold and damp environments; garlic juice drops in nostrils for severe sinus congestion if headache is sinus-related",Vigorous Kapalabhati Pranayama; Bhastrika (Breath of Fire); Sun Salutation; brisk walking; avoid morning sleep and sedentary lifestyle which aggravates Kapha
39,Muscle Cramps and Spasms,Mamsagata Vata,"Muscle cramps and spasms have numerous causes. They may be due to insufficient blood supply to the muscle, excess blood supply as in writer's cramp, lack of calcium in the diet, malabsorption of calcium, underactive parathyroid, or exposure to cold. The Ayurvedic understanding is that muscle spasms are caused by Vata dosha. Vata, increased by its mobile, cold, or rough qualities, makes a muscle stiff and hard, causing it to undergo spasm.",Vata,"Vata-pacifying nourishing diet; adequate minerals especially calcium, magnesium, and zinc.","Warm milk with sesame seeds, bananas, warm soups with ghee, sesame seeds, almonds, cooked root vegetables, warm water, chamomile tea, dashamoola tea (prevention)","Cold foods and drinks, excess caffeine, alcohol, beans, carbonated beverages, raw salads, dry foods, exposure to cold weather","For immediate relief — grab hold of the cramping muscle, press index finger deeply into the belly (center) of the muscle for 15–20 seconds at the marma point; take deep breaths; for upper body spasm grab upper lip at midpoint between thumb and index finger for 30 seconds; for lower body spasm grab lower lip; repeatedly alternate contraction and relaxation of cramped muscle; apply Mahanarayan oil or sesame oil on muscle belly and massage gently then apply hot water bottle; soak cramped foot in bucket of warm salt water (1–2 tbsp salt); take hot ginger-baking soda bath (⅔ cup baking soda + ¼ cup ginger per tub) for full body muscle relaxation; take calcium 1200mg + magnesium 600mg + zinc 60mg daily supplements; drink dashamoola tea preventively every Saturday",Gentle stretching; Forward Bend; Camel pose; Anulom Vilom Pranayama; gentle yoga; contract and relax exercises for affected muscles; avoid overstretching during active spasm
40,Bursitis,Sandhi Shotha,"Bursitis is an inflammation of the bursae — the small fluid sacs around the shoulder, knee, and other parts of the body. According to Ayurveda, bursitis is a Pitta condition that is similar to arthritis. The pathological process begins with toxicity accumulated in the colon. These toxins get absorbed into the bloodstream, go into the general circulation, and lodge in the bursae, leading to the symptoms of bursitis. Treatment is similar to the treatment for Pitta-type arthritis.",Pitta-Vata,Anti-inflammatory Pitta-Vata-pacifying diet; keep colon clean.,"Coconut water, cucumber, coriander tea, aloe vera gel, turmeric in food, ginger tea, cooling sweet fruits, pomegranate juice, mung dal soup","Hot spicy foods, fermented foods, alcohol, red meat, sour foods, excess salt, heavy dairy, repetitive aggravating movements","Take Kaishore Guggulu 1 tablet 3x/day; apply sandalwood paste gently on painful area; do Nasya with warm ghee (5 drops in each nostril) to open Prana flow through connective tissue; apply sesame oil, eucalyptus oil, tea tree oil, Mahanarayan oil, or neem oil topically on swollen joint; take 1 cup hot milk + 2 tsp castor oil at bedtime to eliminate Pitta toxicity from colon (adjust dose to get 2 good bowel movements); or take Triphala or Amalaki 1 tsp in warm water at night; strictly follow Pitta-soothing diet — avoid hot spicy foods, fermented foods, raw vegetables, salad, ice water, cold drinks, beans; do not do strenuous exercise while bursitis is present",Gentle yoga stretching only; Camel pose; Cobra pose; Cow pose; Cat pose; Spinal Twist; Forward Bend — all under guidance of a yoga teacher; Shitali Pranayama; Shavasana; NO strenuous exercise during active bursitis
41,Diabetes,Madhumeha,"Diabetes is a metabolic Kapha-type disorder in which diminished functioning of Agni (digestive fire) leads to a tendency toward high blood sugar. The weakened cellular fire cannot burn the excess food consumed, which then gets converted to excess sugar in the blood. Clinical observation in Ayurveda suggests that insulin-dependent diabetics who follow Ayurvedic treatment often experience a markedly diminished requirement for insulin as the condition comes under better control.",Kapha,"Follow Kapha-pacifying diet; especially avoid excess sweets, carbohydrates, and dairy."," Bitter vegetables, bitter gourd, fenugreek seeds, turmeric capsules (2 caps 3x/day before meals), ground bay leaf with turmeric in aloe vera gel, copper water (stored overnight in copper vessel), fresh green vegetables","Excess sweets, refined carbohydrates, dairy products, white rice, white bread, fried foods, alcohol, cold drinks, fruit juices, processed foods","ake Guduchi-Shardunika-Kutki-Punarnava formula ½ tsp 2–3x/day with warm water; take turmeric capsules (2 capsules 3x/day) a few minutes before meals for up to 1 month; take ½ tsp ground bay leaf + ½ tsp turmeric in 1 tbsp aloe vera gel twice daily before lunch and dinner; drink copper water each morning (water stored overnight in copper vessel); follow Kapha-pacifying diet — avoid excess sweets, carbohydrates, and dairy; take more bitter herbs and fresh vegetables; monitor blood sugar regularly; consult physician — insulin-dependent patients may experience markedly diminished insulin requirement with Ayurvedic treatment",Sun Salutation (daily); Peacock pose; Locust pose; Leg Lift; Chest-Knee pose; Alternate Nostril Breathing (Anulom Vilom) — these strengthen the pancreas and improve glucose metabolism
42,Obesity,Sthaulya,"Obesity is a condition in which an excessive amount of body fat has accumulated under the chin, on the breasts, belly, buttocks, and thighs. Obesity is a Kapha disorder. In obese individuals the gastric fire is strong, but the cellular fire in the tissue is relatively low. Whatever excess food or calories a person consumes are not burned and instead turn into adipose tissue. The main causes according to Ayurveda are eating too much, sitting too much, and doing too little.",Kapha,Follow Kapha-pacifying diet; skip breakfast or eat biggest meal at noon; light supper.,"Hot water with herbal teas (ginger, mint, cinnamon), salad without creamy dressings, beans, fish or chicken (once a month maximum), bitter vegetables, light grains","Cold drinks, fatty fried foods, dairy (cheese, yogurt, ice cream), excess sugar and carbohydrates, alcohol, tobacco, beef, lamb, pork, snacks between meals, late-night eating","Skip breakfast entirely (have hot herbal tea only) and take biggest meal at noon; supper should be light; do not snack between meals; drink hot water or herbal teas (ginger, mint, cinnamon) instead of cold drinks always; take hot water with 1 tsp honey each morning; quit alcohol and smoking; avoid cold drinks immediately after exercise (slows metabolism); lift weights using 5-pound weights to burn adipose tissue; follow Kapha-pacifying diet strictly; take biggest meal early in day; eat 2 meals only when possible — skip supper; burn more calories than you consume",Daily walk of at least half an hour — essential; gentle jogging (walk fast with 2.5-pound hand weights if unable to jog); swimming; aerobic exercise at least 3x/week; weight lifting with 5-pound weights; Vigorous Kapalabhati Pranayama; Sun Salutation (12+ cycles daily); Uddiyana Bandha (abdominal lock)
43,High Cholesterol,Medoroga,"High cholesterol means increased lipids (fats) in the blood. It is essentially a metabolic disorder. People with low liver function, diminished thyroid activity, those who have taken steroids in the past, or whose diet is very Kapha-generating seem most prone to develop high cholesterol. A cholesterol level of 200 or above is worrisome as it tends to create plaque on artery walls, resulting in atherosclerotic changes, cardiovascular disorders, hypertension, and stroke.",Kapha,Stick to Kapha-pacifying diet; no fatty fried food; no high-fat dairy.,"Raw garlic (1 clove daily, chopped fine), ginger tea, oats, barley, artichoke, bitter gourd, fenugreek seeds, turmeric, apple cider vinegar with honey in warm water, onion in cooking","Fatty meats, fried foods, cheese, high-fat milk and yogurt, sweets, cold food and drinks, excessive carbohydrates, alcohol, smoking","Eat 1 clove fresh garlic (chopped fine) + ½ tsp grated ginger + ½ tsp lime juice before each meal; drink cinnamon-trikatu tea (1 tsp cinnamon + ¼ tsp trikatu steeped 10 minutes + 1 tsp honey) twice daily; take Trikatu ½ tsp with 1 tsp honey 2–3x/day; take Kutki-Chitrak-Shilajit formula ½ tsp twice daily with honey and hot water; take Triphala Guggulu 1 tablet (200mg) 3x/day; take Chitrak-Adhivati 1 tablet (200mg) twice daily after lunch and dinner; drink hot water with 1 tsp honey + lime juice or apple cider vinegar each morning to ""scrape"" fat from system; walk Monday to Friday at least half an hour daily; swim at least 3x/week", Sun Salutation (daily); Shoulder Stand; Peacock pose; Cobra pose; Spinal Twist; Locust pose; Lotus pose; Bhastrika (Breath of Fire) Pranayama; half-hour daily walk Monday to Friday; swimming 3x/week
44,Edema,Shotha,"Any part of the body can suddenly swell. The edema may be related to an injury, torn ligaments, or fluid seeping from blood vessels due to prolonged standing or walking. Poor circulation can cause feet or ankles to swell. Edema may also be an allergic reaction or the result of an insect bite. Because there are many possible reasons for swelling, finding out the cause is essential for effective treatment. In Ayurveda, edema is primarily a Kapha disorder involving excess fluid retention.",Kapha,"Light, dry, low-salt diet; address the underlying cause.","Barley water, ginger tea, pomegranate juice, cranberry juice, coconut water, cilantro juice (natural antihistamine if allergy-related), warm low-sodium soups, pineapple juice (anti-inflammatory)","Salt in excess, dairy products, cold food and drinks, heavy meats, wheat, sweets, fried foods, alcohol, processed canned foods","Apply turmeric + red sandalwood paste at the site of swelling; elevate feet — sit with legs on footstool, place pillows under feet when in bed; for insect bite edema apply neem + tea tree oil equally; for allergy edema drink fresh cilantro juice and apply pulp locally; for finger ring swelling raise hand above head or soak in ice water then use soap to slide off ring; take Punarnava-Manjistha-Gokshura circulation formula (3 tsp in warm water 2–3x/day); reduce salt drastically; avoid prolonged standing or sitting; avoid dairy, heavy foods, sweets; light massage toward heart (not away) to promote lymphatic drainage","Gentle walking; Leg Lift (legs at 45-degree angle, hold a few seconds); elevate legs above heart level while resting; Sun Salutation; Kapalabhati Pranayama; Anulom Vilom; avoid vigorous exercise during acute swelling"
45,Chronic Fatigue,Klama,"Fatigue may be due to low gastric fire, weakness of the liver, low adrenal energy, or anemia. Chronic fatigue syndrome may be caused by Epstein-Barr virus, a form related to high stagnant Pitta in the liver. People with a history of infectious mononucleosis can feel very tired for extended periods. Importantly, fatigue is not always due to overwork — sometimes people feel tired because they are not doing enough and lack motivation, which is a Kapha-type fatigue.",Vata-Kapha,Strengthening diet based on cause; Pitta-pacifying if Epstein-Barr related; blood-building if anemia related.,"Fresh orange juice with rock salt (after exercise fatigue), ginseng or ashwagandha tea, pomegranate juice, grapes, beet-carrot juice, shatavari-bala-vidari formula with shatavari ghee, warm milk with saffron","Alcohol and drugs (destroy brain and liver cells), heavy red meat, excessive sugar, processed foods, junk food, excess caffeine, cold drinks, overworking without rest","For Epstein-Barr/chronic fatigue take Shatavari-Bala-Vidari-Kama Dudha formula ½ tsp 2–3x/day with 1 tsp shatavari ghee; to strengthen Agni — chew fresh ginger with lime juice and salt before each meal; avoid cold and iced drinks especially during and after meals; take Chitrak-Adivati 1 tablet (200mg) twice daily after lunch and dinner to kindle Agni; energy-building foods — soak 10 fresh dates in ghee with ginger, cardamom, saffron for 2 weeks; eat 1 date each morning; eat 1 ripe mango daily followed by warm milk + 1 tsp ghee after an hour; unless fatigue is due to idleness — do NOT do much exercise as it burns Ojas and increases fatigue",Alternate Nostril Breathing (Anulom Vilom) to kindle gastric fire; gentle yoga stretching only — NOT vigorous exercise; short gentle walking; Shavasana (rest is therapeutic); NOTE: for Kapha-type fatigue from idleness — DO exercise vigorously to break inertia
46,Anxiety,Chittodvega,"Anxiety, which is often associated with insomnia and feelings of fear, is due primarily to aggravation of Vata dosha in the nervous system. The light, mobile, and irregular qualities of Vata when disturbed create excessive mental activity, worry, and fear. To heal anxiety, Ayurveda focuses on balancing Vata through warming, grounding, and nourishing practices. If severe anxiety continues for a long time or includes panic attacks and interferes with daily functioning, medical attention is required.",Vata,"Warm, grounding, nourishing Vata-pacifying foods; avoid all stimulants.","Warm almond milk with nutmeg and saffron (10 almonds soaked overnight, blended in warm milk), orange juice with 1 tsp honey and pinch nutmeg (for fast heart rate), chamomile tea, warm milk, sweet fruits, cooked root vegetables, ghee","Coffee, tea, cola, alcohol, cold drinks, spicy foods, raw salads, beans, excessive fasting, carbonated drinks","Take warm ginger-baking soda bath (⅓ cup ginger + ⅓ cup baking soda in tub) for 10–15 minutes; drink calming Tagar-Musta tea ½ tsp twice daily; give yourself full-body oil massage before morning bath (Vata — sesame oil, Pitta — sunflower/coconut oil, Kapha — corn oil, 6–7 oz warm oil head to toe); minimal massage on scalp and soles of feet also effective; press palm pressure point — make fist, press middle finger point in center of palm firmly for 1 minute to calm Prana agitation; lie in Savasana; meditate using So-Hum meditation focusing on top of head; spend time in nature; avoid coffee, tea, cola, alcohol, and all stimulants",Savasana (Corpse pose — lie on back arms by sides); Anulom Vilom Pranayama; So-Hum Meditation; gentle walking in fresh air; gentle yoga; when urge to worry arises — go for a walk immediately
47,Depression (Vata-Type),Vishada (Vata),"Vata-type depression is generally associated with fear, anxiety, nervousness, and insomnia. Because of specific etiological factors, Vata from the colon enters the general circulation, lodges in the nervous system, and interferes with the normal functioning of the mind, causing depression. Vata depression is characterized by feeling spacy, ungrounded, fearful, and anxious. Loneliness is one psychological factor that particularly sustains this type of depression.",Vata,Follow Vata-pacifying diet strictly; warm nourishing meals are essential.,"Dashamoola tea (1 tsp steeped in hot water twice daily), ashwagandha-brahmi tea (2-3x/day), tulsi-sage tea, warm milk with saffron, warm almond milk, ghee, sesame seeds, warm root vegetables","Cold foods and drinks, dry foods, beans, barley, excess caffeine, alcohol, raw salads, excessive fasting, leftover food",Do warm sesame oil Nasya (3–5 drops in each nostril) morning and evening on empty stomach; rub top of head and soles of feet with sesame oil; spend time relating to people — combat loneliness which sustains Vata depression; drink Dashamoola tea twice daily; drink Ashwagandha-Brahmi tea 2–3x/day; take Tulsi-Sage tea twice daily; maintain warm and nourishing daily routine; avoid excessive alone time; follow Vata-pacifying diet strictly; get adequate sleep with regular schedule; avoid cold environments; medical supervision is essential — these are adjunct therapies only,Sun Salutation (12 repetitions daily); Shoulder Stand; Plow pose; Maha Mudra; Bow pose; Vajrasana (Sitting on Heels); Ujjayi Pranayama; So-Hum Meditation
48,Depression (Kapha-Type),Vishada (Kapha),"Kapha-type depression enters the general circulation from the stomach and lodges in the nervous system creating heaviness, lethargy, excessive sleep, overeating, grief, and profound lack of motivation. The heavy, slow, dense qualities of Kapha cause the person to feel deeply stuck and unmotivated. Vigorous exercise, stimulating foods, and regular daily routine are especially important for managing this type of depression. Medical supervision is essential for serious cases.",Kapha," Follow Kapha-reducing diet; light, spiced, stimulating foods; avoid heavy and sweet foods.","Gotu kola or brahmi tea (½ tsp in hot water 2-3x/day), ginkgo tea, pomegranate juice, ginger tea, pungent spices (black pepper, mustard, fenugreek), light soups, honey with warm water","Dairy products, sweets, refined sugar, fried foods, cold food and drinks, excess wheat, heavy meats, alcohol, sleeping after sunrise","Fast for 3–4 days on apple juice to lighten heaviness of Kapha depression; increase the amount of exercise significantly; drink ginger tea (½–1 tsp ginger powder in hot water) twice daily; take Sarasvati-Punarnava-Chitrak formula ½ tsp 3x/day with warm water; apply Punarnava Ghee Nasya (5 drops in each nostril) twice daily; avoid sleeping after sunrise — daytime sleep greatly worsens Kapha depression; engage in stimulating social activities; maintain vigorous daily routine; avoid dairy, sweets, heavy foods, and alcohol; fast one day per week on apple juice; see doctor if depression is serious",Sun Salutation (12 repetitions daily); Shoulder Stand; Plow pose; Maha Mudra; Bow pose; Vajrasana; Vigorous Kapalabhati Pranayama; Bhastrika (Breath of Fire); brisk walking; Ujjayi Pranayama; avoid sedentary lifestyle completely
49,Memory Problems,Smriti Bhransha,"Memory problems are often the result of an inadequate supply of nutrients to the brain. As age advances, memory frequently becomes poorer. Alcohol destroys brain cells and memory loss among alcoholics is quite common. Memory problems may also be due to LSD, marijuana, cocaine, and alcohol abuse. According to Ayurvedic principles, memory is recorded on the sensitive film of nerve cells in the brain which are of Kapha nature, while memory is recalled by Vata. Most memory problems are due to stagnation of Kapha or aggravation of Vata in the brain.",Vata-Kapha, Sattvic brain-nourishing diet; avoid heavy meat and all brain-damaging substances.," Brahmi milk (½ tsp brahmi boiled in warm milk at bedtime with pinch saffron), carrot and beet juice, almonds, sweet potatoes, tapioca, okra, spinach, ghee, fresh fruits and vegetables, orange juice (for drowsiness), pomegranate juice","Heavy red meat, alcohol, marijuana, LSD and drugs, excessive sugar, processed foods, junk food, excess caffeine, smoking (constricts cerebral blood vessels), diazepam (Valium) if possible","Take Medhya herbs tea (Brahmi + Jatamamsi + Bhringaraj + Shanka Pushpi — equal proportions, 1 tsp in 1 cup hot water) on empty stomach morning and evening for 1 month; drink Brahmi milk (½ tsp brahmi in warm milk + pinch saffron) at bedtime; take Brahmi Ghee 1 tsp before breakfast and before dinner; do 5-day Kitchari fast periodically; do 3–5-day fruit fast with Triphala at night; rub Brahmi oil on soles of feet and scalp daily to stimulate cerebral neural receptors; Brahmi Ghee Nasya (5 drops warm Brahmi ghee in each nostril); write down important things; use rhymes, rhythms, and association techniques; avoid alcohol, marijuana, LSD, cocaine, and smoking; Regular Meditation using Empty Bowl or So-Hum; avoid diazepam (Valium) if possible","Daily fast walking 30 minutes, Monday to Friday (improves cerebral circulation); inverted poses — Shoulder Stand, Headstand (with supervision), Plow pose, Camel pose (bring blood to brain); Bow pose; Cobra pose; Savasana; Sun Salutation 12 cycles daily; Alternate Nostril Breathing (Anulom Vilom); So-Hum Meditation and Empty Bowl Meditation"
50,Urinary Tract Infection,Mutrakricchra,"Urinary tract infection (Cystitis) is primarily a Pitta condition causing burning inflammation of the bladder. The hot, sharp, penetrating quality of aggravated Pitta creates the characteristic burning sensation during urination, frequent urge to urinate, and lower abdominal discomfort. The condition is aggravated by hot spicy foods, fermented foods, alcohol, and coffee. Cooling Pitta and increasing fluid intake are the foundations of Ayurvedic treatment.",Pitta,Cooling alkaline high-fluid diet; Pitta-pacifying; increase fluid intake drastically.,"Coriander seed tea, cumin tea, fennel tea, cumin-coriander-fennel tea (3x/day), coconut water, barley water, cool water, pomegranate juice, cucumber, watermelon, cranberry juice","Hot spicy foods, fermented foods, alcohol, coffee, sour citrus fruits, red meat, excess salt, chocolate, tomatoes, cold drinks that irritate bladder",Drink Cumin-Coriander-Fennel tea 3x/day; increase fluid intake drastically to dilute urine and flush bacteria; apply cool compress on lower abdomen for relief; take Punarnava-Gokshura-Musta formula ½ tsp 2–3x/day with warm water; drink cranberry juice regularly (natural antiseptic for urinary tract); avoid holding urine — urinate when needed; keep lower abdomen warm; avoid cold drinks and cold environments; if symptoms worsen or blood appears in urine — see physician immediately; in cases of urinary incontinence take white sesame seeds + 1 tsp jaggery with ½ cup water once daily to strengthen bladder sphincter,Gentle walking; Baddha Konasana (Butterfly pose); Setu Bandhasana (Bridge pose); Anulom Vilom Pranayama; Mula Bandha (root lock) to strengthen pelvic floor; adequate hydration before and during all exercise; avoid intense exercise during acute infection
